number,name,base_name,form_name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,link,sprite_url
0037,Vulpix,Vulpix,,Fire,,299,38,41,40,50,65,65,https://pokemondb.net/pokedex/vulpix,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/vulpix.avif
0037,Vulpix (Alolan Vulpix),Vulpix,Alolan Vulpix,Ice,,299,38,41,40,50,65,65,https://pokemondb.net/pokedex/vulpix,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/vulpix-alolan.avif
0038,Ninetales,Ninetales,,Fire,,505,73,76,75,81,100,100,https://pokemondb.net/pokedex/ninetales,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ninetales.avif
0038,Ninetales (Alolan Ninetales),Ninetales,Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,https://pokemondb.net/pokedex/ninetales,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ninetales-alolan.avif
0039,Jigglypuff,Jigglypuff,,Normal,Fairy,270,115,45,20,45,25,20,https://pokemondb.net/pokedex/jigglypuff,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/jigglypuff.avif
0040,Wigglytuff,Wigglytuff,,Normal,Fairy,435,140,70,45,85,50,45,https://pokemondb.net/pokedex/wigglytuff,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wigglytuff.avif
0041,Zubat,Zubat,,Poison,Flying,245,40,45,35,30,40,55,https://pokemondb.net/pokedex/zubat,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/zubat.avif
0042,Golbat,Golbat,,Poison,Flying,455,75,80,70,65,75,90,https://pokemondb.net/pokedex/golbat,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/golbat.avif
0043,Oddish,Oddish,,Grass,Poison,320,45,50,55,75,65,30,https://pokemondb.net/pokedex/oddish,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/oddish.avif
0044,Gloom,Gloom,,Grass,Poison,395,60,65,70,85,75,40,https://pokemondb.net/pokedex/gloom,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gloom.avif
0045,Vileplume,Vileplume,,Grass,Poison,490,75,80,85,110,90,50,https://pokemondb.net/pokedex/vileplume,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/vileplume.avif
0046,Paras,Paras,,Bug,Grass,285,35,70,55,45,55,25,https://pokemondb.net/pokedex/paras,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/paras.avif
0047,Parasect,Parasect,,Bug,Grass,405,60,95,80,60,80,30,https://pokemondb.net/pokedex/parasect,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/parasect.avif
0048,Venonat,Venonat,,Bug,Poison,305,60,55,50,40,55,45,https://pokemondb.net/pokedex/venonat,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venonat.avif
0049,Venomoth,Venomoth,,Bug,Poison,450,70,65,60,90,75,90,https://pokemondb.net/pokedex/venomoth,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venomoth.avif
0050,Diglett,Diglett,,Ground,,265,10,55,25,35,45,95,https://pokemondb.net/pokedex/diglett,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/diglett.avif
0050,Diglett (Alolan Diglett),Diglett,Alolan Diglett,Ground,Steel,265,10,55,30,35,45,90,https://pokemondb.net/pokedex/diglett,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/diglett-alolan.avif
0051,Dugtrio,Dugtrio,,Ground,,425,35,100,50,50,70,120,https://pokemondb.net/pokedex/dugtrio,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dugtrio.avif
0051,Dugtrio (Alolan Dugtrio),Dugtrio,Alolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110,https://pokemondb.net/pokedex/dugtrio,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dugtrio-alolan.avif
0052,Meowth,Meowth,,Normal,,290,40,45,35,40,40,90,https://pokemondb.net/pokedex/meowth,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/meowth.avif
0052,Meowth (Alolan Meowth),Meowth,Alolan Meowth,Dark,,290,40,35,35,50,40,90,https://pokemondb.net/pokedex/meowth,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/meowth-alolan.avif
0052,Meowth (Galarian Meowth),Meowth,Galarian Meowth,Steel,,290,50,65,55,40,40,40,https://pokemondb.net/pokedex/meowth,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/meowth-galarian.avif
0053,Persian,Persian,,Normal,,440,65,70,60,65,65,115,https://pokemondb.net/pokedex/persian,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/persian.avif
0053,Persian (Alolan Persian),Persian,Alolan Persian,Dark,,440,65,60,60,75,65,115,https://pokemondb.net/pokedex/persian,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/persian-alolan.avif
0054,Psyduck,Psyduck,,Water,,320,50,52,48,65,50,55,https://pokemondb.net/pokedex/psyduck,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/psyduck.avif
0055,Golduck,Golduck,,Water,,500,80,82,78,95,80,85,https://pokemondb.net/pokedex/golduck,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/golduck.avif
0056,Mankey,Mankey,,Fighting,,305,40,80,35,35,45,70,https://pokemondb.net/pokedex/mankey,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mankey.avif
0057,Primeape,Primeape,,Fighting,,455,65,105,60,60,70,95,https://pokemondb.net/pokedex/primeape,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/primeape.avif
0058,Growlithe,Growlithe,,Fire,,350,55,70,45,70,50,60,https://pokemondb.net/pokedex/growlithe,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/growlithe.avif
0058,Growlithe (Hisuian Growlithe),Growlithe,Hisuian Growlithe,Fire,Rock,350,60,75,45,65,50,55,https://pokemondb.net/pokedex/growlithe,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/growlithe-hisuian.avif
0059,Arcanine,Arcanine,,Fire,,555,90,110,80,100,80,95,https://pokemondb.net/pokedex/arcanine,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/arcanine.avif
0059,Arcanine (Hisuian Arcanine),Arcanine,Hisuian Arcanine,Fire,Rock,555,95,115,80,95,80,90,https://pokemondb.net/pokedex/arcanine,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/arcanine-hisuian.avif
0060,Poliwag,Poliwag,,Water,,300,40,50,40,40,40,90,https://pokemondb.net/pokedex/poliwag,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/poliwag.avif
0061,Poliwhirl,Poliwhirl,,Water,,385,65,65,65,50,50,90,https://pokemondb.net/pokedex/poliwhirl,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/poliwhirl.avif
0062,Poliwrath,Poliwrath,,Water,Fighting,510,90,95,95,70,90,70,https://pokemondb.net/pokedex/poliwrath,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/poliwrath.avif
0063,Abra,Abra,,Psychic,,310,25,20,15,105,55,90,https://pokemondb.net/pokedex/abra,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/abra.avif
0064,Kadabra,Kadabra,,Psychic,,400,40,35,30,120,70,105,https://pokemondb.net/pokedex/kadabra,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kadabra.avif
0065,Alakazam,Alakazam,,Psychic,,500,55,50,45,135,95,120,https://pokemondb.net/pokedex/alakazam,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/alakazam.avif
0065,Alakazam (Mega Alakazam),Alakazam,Mega Alakazam,Psychic,,600,55,50,65,175,105,150,https://pokemondb.net/pokedex/alakazam,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/alakazam-mega.avif
0066,Machop,Machop,,Fighting,,305,70,80,50,35,35,35,https://pokemondb.net/pokedex/machop,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/machop.avif
0067,Machoke,Machoke,,Fighting,,405,80,100,70,50,60,45,https://pokemondb.net/pokedex/machoke,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/machoke.avif
0068,Machamp,Machamp,,Fighting,,505,90,130,80,65,85,55,https://pokemondb.net/pokedex/machamp,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/machamp.avif
0069,Bellsprout,Bellsprout,,Grass,Poison,300,50,75,35,70,30,40,https://pokemondb.net/pokedex/bellsprout,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/bellsprout.avif
0070,Weepinbell,Weepinbell,,Grass,Poison,390,65,90,50,85,45,55,https://pokemondb.net/pokedex/weepinbell,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/weepinbell.avif
0071,Victreebel,Victreebel,,Grass,Poison,490,80,105,65,100,70,70,https://pokemondb.net/pokedex/victreebel,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/victreebel.avif
0071,Victreebel (Mega Victreebel),Victreebel,Mega Victreebel,Grass,Poison,590,80,125,85,135,95,70,https://pokemondb.net/pokedex/victreebel,https://img.pokemondb.net/s.png
0072,Tentacool,Tentacool,,Water,Poison,335,40,40,35,50,100,70,https://pokemondb.net/pokedex/tentacool,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tentacool.avif
0073,Tentacruel,Tentacruel,,Water,Poison,515,80,70,65,80,120,100,https://pokemondb.net/pokedex/tentacruel,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tentacruel.avif
0074,Geodude,Geodude,,Rock,Ground,300,40,80,100,30,30,20,https://pokemondb.net/pokedex/geodude,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/geodude.avif
0074,Geodude (Alolan Geodude),Geodude,Alolan Geodude,Rock,Electric,300,40,80,100,30,30,20,https://pokemondb.net/pokedex/geodude,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/geodude-alolan.avif
0075,Graveler,Graveler,,Rock,Ground,390,55,95,115,45,45,35,https://pokemondb.net/pokedex/graveler,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/graveler.avif
0075,Graveler (Alolan Graveler),Graveler,Alolan Graveler,Rock,Electric,390,55,95,115,45,45,35,https://pokemondb.net/pokedex/graveler,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/graveler-alolan.avif
0076,Golem,Golem,,Rock,Ground,495,80,120,130,55,65,45,https://pokemondb.net/pokedex/golem,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/golem.avif
0076,Golem (Alolan Golem),Golem,Alolan Golem,Rock,Electric,495,80,120,130,55,65,45,https://pokemondb.net/pokedex/golem,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/golem-alolan.avif
0077,Ponyta,Ponyta,,Fire,,410,50,85,55,65,65,90,https://pokemondb.net/pokedex/ponyta,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ponyta.avif
0077,Ponyta (Galarian Ponyta),Ponyta,Galarian Ponyta,Psychic,,410,50,85,55,65,65,90,https://pokemondb.net/pokedex/ponyta,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ponyta-galarian.avif
0078,Rapidash,Rapidash,,Fire,,500,65,100,70,80,80,105,https://pokemondb.net/pokedex/rapidash,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/rapidash.avif
0078,Rapidash (Galarian Rapidash),Rapidash,Galarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,https://pokemondb.net/pokedex/rapidash,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/rapidash-galarian.avif
0079,Slowpoke,Slowpoke,,Water,Psychic,315,90,65,65,40,40,15,https://pokemondb.net/pokedex/slowpoke,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slowpoke.avif
0079,Slowpoke (Galarian Slowpoke),Slowpoke,Galarian Slowpoke,Psychic,,315,90,65,65,40,40,15,https://pokemondb.net/pokedex/slowpoke,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slowpoke-galarian.avif
0080,Slowbro,Slowbro,,Water,Psychic,490,95,75,110,100,80,30,https://pokemondb.net/pokedex/slowbro,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slowbro.avif
0080,Slowbro (Mega Slowbro),Slowbro,Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,https://pokemondb.net/pokedex/slowbro,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slowbro-mega.avif
0080,Slowbro (Galarian Slowbro),Slowbro,Galarian Slowbro,Poison,Psychic,490,95,100,95,100,70,30,https://pokemondb.net/pokedex/slowbro,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slowbro-galarian.avif
0081,Magnemite,Magnemite,,Electric,Steel,325,25,35,70,95,55,45,https://pokemondb.net/pokedex/magnemite,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/magnemite.avif
0082,Magneton,Magneton,,Electric,Steel,465,50,60,95,120,70,70,https://pokemondb.net/pokedex/magneton,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/magneton.avif
0083,Farfetch'd,Farfetch'd,,Normal,Flying,377,52,90,55,58,62,60,https://pokemondb.net/pokedex/farfetchd,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/farfetchd.avif
0083,Farfetch'd (Galarian Farfetch'd),Farfetch'd,Galarian Farfetch'd,Fighting,,377,52,95,55,58,62,55,https://pokemondb.net/pokedex/farfetchd,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/farfetchd-galarian.avif
0084,Doduo,Doduo,,Normal,Flying,310,35,85,45,35,35,75,https://pokemondb.net/pokedex/doduo,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/doduo.avif
0085,Dodrio,Dodrio,,Normal,Flying,470,60,110,70,60,60,110,https://pokemondb.net/pokedex/dodrio,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dodrio.avif
0086,Seel,Seel,,Water,,325,65,45,55,45,70,45,https://pokemondb.net/pokedex/seel,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/seel.avif
0087,Dewgong,Dewgong,,Water,Ice,475,90,70,80,70,95,70,https://pokemondb.net/pokedex/dewgong,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dewgong.avif
0088,Grimer,Grimer,,Poison,,325,80,80,50,40,50,25,https://pokemondb.net/pokedex/grimer,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/grimer.avif
0088,Grimer (Alolan Grimer),Grimer,Alolan Grimer,Poison,Dark,325,80,80,50,40,50,25,https://pokemondb.net/pokedex/grimer,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/grimer-alolan.avif
0089,Muk,Muk,,Poison,,500,105,105,75,65,100,50,https://pokemondb.net/pokedex/muk,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/muk.avif
0089,Muk (Alolan Muk),Muk,Alolan Muk,Poison,Dark,500,105,105,75,65,100,50,https://pokemondb.net/pokedex/muk,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/muk-alolan.avif
0090,Shellder,Shellder,,Water,,305,30,65,100,45,25,40,https://pokemondb.net/pokedex/shellder,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/shellder.avif
0091,Cloyster,Cloyster,,Water,Ice,525,50,95,180,85,45,70,https://pokemondb.net/pokedex/cloyster,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/cloyster.avif
0092,Gastly,Gastly,,Ghost,Poison,310,30,35,30,100,35,80,https://pokemondb.net/pokedex/gastly,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gastly.avif
0093,Haunter,Haunter,,Ghost,Poison,405,45,50,45,115,55,95,https://pokemondb.net/pokedex/haunter,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/haunter.avif
0094,Gengar,Gengar,,Ghost,Poison,500,60,65,60,130,75,110,https://pokemondb.net/pokedex/gengar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gengar.avif
0094,Gengar (Mega Gengar),Gengar,Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,https://pokemondb.net/pokedex/gengar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gengar-mega.avif
0095,Onix,Onix,,Rock,Ground,385,35,45,160,30,45,70,https://pokemondb.net/pokedex/onix,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/onix.avif
0096,Drowzee,Drowzee,,Psychic,,328,60,48,45,43,90,42,https://pokemondb.net/pokedex/drowzee,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/drowzee.avif
0097,Hypno,Hypno,,Psychic,,483,85,73,70,73,115,67,https://pokemondb.net/pokedex/hypno,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/hypno.avif
0098,Krabby,Krabby,,Water,,325,30,105,90,25,25,50,https://pokemondb.net/pokedex/krabby,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/krabby.avif
0099,Kingler,Kingler,,Water,,475,55,130,115,50,50,75,https://pokemondb.net/pokedex/kingler,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kingler.avif
0100,Voltorb,Voltorb,,Electric,,330,40,30,50,55,55,100,https://pokemondb.net/pokedex/voltorb,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/voltorb.avif
0100,Voltorb (Hisuian Voltorb),Voltorb,Hisuian Voltorb,Electric,Grass,330,40,30,50,55,55,100,https://pokemondb.net/pokedex/voltorb,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/voltorb-hisuian.avif
0101,Electrode,Electrode,,Electric,,490,60,50,70,80,80,150,https://pokemondb.net/pokedex/electrode,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/electrode.avif
0101,Electrode (Hisuian Electrode),Electrode,Hisuian Electrode,Electric,Grass,490,60,50,70,80,80,150,https://pokemondb.net/pokedex/electrode,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/electrode-hisuian.avif
0102,Exeggcute,Exeggcute,,Grass,Psychic,325,60,40,80,60,45,40,https://pokemondb.net/pokedex/exeggcute,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/exeggcute.avif
