name,category,effect,sprite_url
Aloraichium Z,Hold items,"Allows Alolan Raichu to upgrade Thunderbolt to a Z-Move, Stoked Sparksurfer.",https://img.pokemondb.net/sprites/items/aloraichium-z.png
Altarianite,Hold items,Enables Altaria to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/altarianite.png
Ampharosite,Hold items,Enables Ampharos to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/ampharosite.png
Amulet Coin,Hold items,Doubles prize money if held.,https://img.pokemondb.net/sprites/items/amulet-coin.png
Antidote,Medicine,Cures a Pokémon of poisoning.,https://img.pokemondb.net/sprites/items/antidote.png
Apicot Berry,Berries,Raises Special Defense when HP is low.,https://img.pokemondb.net/sprites/items/apicot-berry.png
Apple,,This very sweet ingredient is sliced thin to make it easy to add into a sandwich.,https://img.pokemondb.net/s.png
Applin Juice,General items,"Material obtained after defeating/catching Applin, used in TM crafting.",https://img.pokemondb.net/s.png
Apricorn,General items,A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch.,https://img.pokemondb.net/s.png
Armor Fossil,General items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.,https://img.pokemondb.net/sprites/items/armor-fossil.png
Armorite Ore,General items,,https://img.pokemondb.net/s.png
Arrokuda Scales,General items,"Material obtained after defeating/catching Arrokuda, used in TM crafting.",https://img.pokemondb.net/s.png
Aspear Berry,Berries,"If held by a Pokémon, it defrosts it.",https://img.pokemondb.net/sprites/items/aspear-berry.png
Assault Vest,Hold items,Raises Special Defense but prevents the use of status moves.,https://img.pokemondb.net/sprites/items/assault-vest.png
Audinite,Hold items,Enables Audino to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/audinite.png
Auspicious Armor,General items,Evolves Charcadet into Armarouge.,https://img.pokemondb.net/s.png
Aux Evasion,Battle items,Makes moves less likely to strike a Pokémon during a battle.,https://img.pokemondb.net/s.png
Aux Guard,Battle items,Sharply boosts the defensive stats of a Pokémon during a battle.,https://img.pokemondb.net/s.png
Aux Power,Battle items,Sharply boosts the offensive stats of a Pokémon during a battle.,https://img.pokemondb.net/s.png
Aux Powerguard,Battle items,Sharply boosts the offensive and defensive stats of a Pokémon during a battle.,https://img.pokemondb.net/s.png
Avocado,,"An ingredient with sweet notes—though its flavor is very mild. The avocado’s richness, however, makes it satisfying to eat.",https://img.pokemondb.net/s.png
Awakening,Medicine,Wakes up a sleeping Pokémon.,https://img.pokemondb.net/sprites/items/awakening.png
Axew Scales,General items,"Material obtained after defeating/catching Axew, used in TM crafting.",https://img.pokemondb.net/s.png
Azurill Fur,General items,"Material obtained after defeating/catching Azurill, used in TM crafting.",https://img.pokemondb.net/s.png
Babiri Berry,Berries,Weakens a supereffective Steel-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/babiri-berry.png
Bach's Food Tin,General items,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.,https://img.pokemondb.net/s.png
Bacon,,"This very salty ingredient has been cooked just shy of charred, making it burst with fragrance and tasty flavor.",https://img.pokemondb.net/s.png
Bagon Scales,General items,"Material obtained after defeating/catching Bagon, used in TM crafting.",https://img.pokemondb.net/s.png
Baguette,,"A long loaf sliced into top and bottom halves. Its aroma of wheat and its straightforward, salty flavor make it pair well with all kinds of sandwich ingredients.",https://img.pokemondb.net/s.png
Ball of Mud,General items,,https://img.pokemondb.net/s.png
Balm Mushroom,General items,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/balm-mushroom.png
Banana,,"A very sweet ingredient. This go-to fruit is sweet and rich, and it’s beloved by many Pokémon.",https://img.pokemondb.net/s.png
Banettite,Hold items,Enables Banette to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/banettite.png
Barboach Slime,General items,"Material obtained after defeating/catching Barboach, used in TM crafting.",https://img.pokemondb.net/s.png
Barred Cup,,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around.",https://img.pokemondb.net/s.png
Basculin Fang,General items,"Material obtained after defeating/catching Basculin, used in TM crafting.",https://img.pokemondb.net/s.png
Basil,,"A very bitter ingredient that’s quite versatile, as herbs go. It’s fragrant and goes well with tomatoes.",https://img.pokemondb.net/s.png
Battle Tablecloth,,"A garish, eye-catching tablecloth. Putting this on your picnic table will inspire any person or Pokémon who eats there to do their best.",https://img.pokemondb.net/s.png
Beach Glass,General items,A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.,https://img.pokemondb.net/sprites/items/beach-glass.png
Bean Cake,General items,,https://img.pokemondb.net/s.png
Beast Ball,Pokeballs,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.,https://img.pokemondb.net/sprites/items/beast-ball.png
Beedrillite,Hold items,Enables Beedrill to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/beedrillite.png
Belue Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/belue-berry.png
Bergmite Ice,General items,"Material obtained after defeating/catching Bergmite, used in TM crafting.",https://img.pokemondb.net/s.png
Berry Juice,Medicine,Restores 20 HP.,https://img.pokemondb.net/sprites/items/berry-juice.png
Berry Sweet,Hold items,Evolves Milcery into Blueberry Flavor Alcremie.,https://img.pokemondb.net/s.png
Big Bamboo Shoot,,A large and rare bamboo shoot. It’s extremely popular with a certain class of gourmands.,https://img.pokemondb.net/s.png
Big Malasada,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/big-malasada.png
Big Mushroom,General items,A large and rare mushroom. It is sought after by collectors.,https://img.pokemondb.net/sprites/items/big-mushroom.png
Big Nugget,General items,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/big-nugget.png
Big Pearl,General items,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.,https://img.pokemondb.net/sprites/items/big-pearl.png
Big Root,Hold items,Recovers more HP from HP-stealing moves.,https://img.pokemondb.net/sprites/items/big-root.png
Binding Band,Hold items,A band that increases the power of binding moves when held.,https://img.pokemondb.net/sprites/items/binding-band.png
Bitter Herba Mystica,,"A legendary condiment with a deeply bitter taste. It’s said to dramatically bolster a body’s immune defenses, though that hasn’t been proven.",https://img.pokemondb.net/s.png
Black Apricorn,General items,A black Apricorn It has an indescribable scent.,https://img.pokemondb.net/sprites/items/black-apricorn.png
Black Augurite,General items,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.,https://img.pokemondb.net/s.png
Black Belt,Hold items,Increases the power of Fighting-type moves.,https://img.pokemondb.net/sprites/items/black-belt.png
Black Flute,General items,A toy flute made from black glass. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/black-flute.png
Black Glasses,Hold items,Increases the power of Dark-type moves.,https://img.pokemondb.net/sprites/items/black-glasses.png
Black Sludge,Hold items,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.,https://img.pokemondb.net/sprites/items/black-sludge.png
Black Tumblestone,General items,,https://img.pokemondb.net/s.png
Blank Plate,Hold items,,https://img.pokemondb.net/s.png
Blastoisinite,Hold items,Enables Blastoise to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/blastoisinite.png
Blazikenite,Hold items,Enables Blaziken to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/blazikenite.png
Blue Apricorn,General items,A blue Apricorn. It smells a bit like grass.,https://img.pokemondb.net/sprites/items/blue-apricorn.png
Blue Bottle,,A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.,https://img.pokemondb.net/s.png
Blue Cup,,"A cup sold with the Blue Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos.",https://img.pokemondb.net/s.png
Blue Dish,,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The blue variety is a consistent strong seller.,https://img.pokemondb.net/s.png
Blue-Flag Pick,,"This pick flies a blue flag that lends an air of adventure. The flag itself is made of card stock, so it’ll fly proudly even with no wind.",https://img.pokemondb.net/s.png
Blue Flute,General items,A toy flute made from blue glass. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/blue-flute.png
Blue Poké Ball Pick,,A sandwich pick with a simple blue Poké Ball design. Often used by Trainers who picked a Water-type Pokémon for their first partner.,https://img.pokemondb.net/s.png
Blue Scarf,General items,Raises holder's Beauty aspect in a Contest.,https://img.pokemondb.net/sprites/items/blue-scarf.png
Blue Shard,General items,A small blue shard. It appears to be from some sort of implement made long ago.,https://img.pokemondb.net/sprites/items/blue-shard.png
Blue-Sky Flower Pick,,A flower pick designed to evoke a blue sky. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.,https://img.pokemondb.net/s.png
Blue Tablecloth,,"A simple blue tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.",https://img.pokemondb.net/s.png
Bluk Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/bluk-berry.png
Blunder Policy,Hold items,Raises Speed sharply if its attack misses.,https://img.pokemondb.net/s.png
Bob's Food Tin,General items,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.,https://img.pokemondb.net/s.png
Boiled Egg,General items,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.,https://img.pokemondb.net/s.png
Bold Mint,Battle items,Changes the Pokémon's stats to match the Bold nature.,https://img.pokemondb.net/s.png
Bombirdier Feather,General items,"Material obtained after defeating/catching Bombirdier, used in TM crafting.",https://img.pokemondb.net/s.png
Bonsly Tears,General items,"Material obtained after defeating/catching Bonsly, used in TM crafting.",https://img.pokemondb.net/s.png
Booster Energy,,An item to be held by Pokémon with certain Abilities. The energy that fills this capsule boosts the strength of the Pokémon.,https://img.pokemondb.net/s.png
Bottle Cap,General items,Maximizes one IV stat in Hyper Training.,https://img.pokemondb.net/sprites/items/bottle-cap.png
Bounsweet Sweat,General items,"Material obtained after defeating/catching Bounsweet, used in TM crafting.",https://img.pokemondb.net/s.png
Bramblin Twig,General items,"Material obtained after defeating/catching Bramblin, used in TM crafting.",https://img.pokemondb.net/s.png
Brave Mint,Battle items,Changes the Pokémon's stats to match the Brave nature.,https://img.pokemondb.net/s.png
Bread,General items,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.,https://img.pokemondb.net/s.png
Bright Powder,Hold items,Lowers the opponent's accuracy.,https://img.pokemondb.net/sprites/items/bright-powder.png
Brittle Bones,General items,One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.,https://img.pokemondb.net/s.png
Bronze Bottle,,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.",https://img.pokemondb.net/s.png
Bronze Cup,,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.",https://img.pokemondb.net/s.png
Bronzor Fragment,General items,"Material obtained after defeating/catching Bronzor, used in TM crafting.",https://img.pokemondb.net/s.png
Bruxish Tooth,General items,"Material obtained after defeating/catching Bruxish, used in TM crafting.",https://img.pokemondb.net/s.png
Bug Gem,Hold items,Increases the power of a Bug-type move only once.,https://img.pokemondb.net/sprites/items/bug-gem.png
Bug Memory,Hold items,Changes Silvally and its move Multi-Attack to Bug type.,https://img.pokemondb.net/sprites/items/bug-memory.png
Bug Tera Shard,,Changes a Pokémon's Tera Type to Bug.,https://img.pokemondb.net/s.png
Buginium Z,Hold items,"Allows the use of Savage Spin-Out, the Bug type Z-Move.",https://img.pokemondb.net/sprites/items/buginium-z.png
Bugwort,General items,,https://img.pokemondb.net/s.png
Buizel Fur,General items,"Material obtained after defeating/catching Buizel, used in TM crafting.",https://img.pokemondb.net/s.png
Burn Drive,Hold items,Changes Techno Blast to a Fire-type move when held by Genesect.,https://img.pokemondb.net/sprites/items/burn-drive.png
Burn Heal,Medicine,Cures a Pokémon of a burn.,https://img.pokemondb.net/sprites/items/burn-heal.png
Butter,,A condiment that unites salty and sweet and also packs a richness that makes bread a delight to eat. The finest butter products are made of 100 percent Moomoo Milk.,https://img.pokemondb.net/s.png
B&W Grass Tablecloth,,"A tablecloth with a fun, trendy black-and-white design featuring Pokémon that seem poised to leap from the tall grass at any moment.",https://img.pokemondb.net/s.png
Cacnea Needle,General items,"Material obtained after defeating/catching Cacnea, used in TM crafting.",https://img.pokemondb.net/s.png
Cake-Lure Base,General items,,https://img.pokemondb.net/s.png
Calcium,Medicine,Increases Special Attack EVs by 10.,https://img.pokemondb.net/sprites/items/calcium.png
Calm Mint,Battle items,Changes the Pokémon's stats to match the Calm nature.,https://img.pokemondb.net/s.png
Cameruptite,Hold items,Enables Camerupt to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/cameruptite.png
Candy Truffle,General items,,https://img.pokemondb.net/s.png
Capsakid Seed,General items,"Material obtained after defeating/catching Capsakid, used in TM crafting.",https://img.pokemondb.net/s.png
Carbos,Medicine,Increases Speed EVs by 10.,https://img.pokemondb.net/sprites/items/carbos.png
Careful Mint,Battle items,Changes the Pokémon's stats to match the Careful nature.,https://img.pokemondb.net/s.png
Carrot Seeds,General items,Seeds to plant in a field. The kind of carrot you’ll get is determined by which field you plant the seeds in.,https://img.pokemondb.net/s.png
Casteliacone,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/casteliacone.png
Caster Fern,General items,,https://img.pokemondb.net/s.png
Cell Battery,Hold items,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.",https://img.pokemondb.net/sprites/items/cell-battery.png
Cetoddle Grease,General items,"Material obtained after defeating/catching Cetoddle, used in TM crafting.",https://img.pokemondb.net/s.png
Chalky Stone,General items,A small whitish stone picked up at the edge of the road.,https://img.pokemondb.net/sprites/items/chalky-stone.png
Charcadet Soot,General items,"Material obtained after defeating/catching Charcadet, used in TM crafting.",https://img.pokemondb.net/s.png
Charcoal,Hold items,Increases the power of Fire-type moves.,https://img.pokemondb.net/sprites/items/charcoal.png
Charizardite X,Hold items,Enables Charizard to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/charizardite-x.png
Charizardite Y,Hold items,Enables Charizard to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/charizardite-y.png
Charti Berry,Berries,Weakens a supereffective Rock-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/charti-berry.png
Cheese,,A very salty ingredient. This thinly sliced cheese is perfect for adding to a sandwich.,https://img.pokemondb.net/s.png
Cheri Berry,Berries,"If held by a Pokémon, it recovers from paralysis.",https://img.pokemondb.net/sprites/items/cheri-berry.png
Cherish Ball,Pokeballs,Rre Poké Ball used for event Pokémon.,https://img.pokemondb.net/sprites/items/cherish-ball.png
Cherry Tomatoes,,"A very tart ingredient. Some varieties are also very sweet, and these are prized above all others by the people of Paldea.",https://img.pokemondb.net/s.png
Chesto Berry,Berries,"If held by a Pokémon, it recovers from sleep.",https://img.pokemondb.net/sprites/items/chesto-berry.png
Chewtle Claw,General items,"Material obtained after defeating/catching Chewtle, used in TM crafting.",https://img.pokemondb.net/s.png
Chilan Berry,Berries,Weakens a Normal-type attack against the Pokémon holding this berry.,https://img.pokemondb.net/sprites/items/chilan-berry.png
Chili Sauce,,A condiment with a very spicy kick. It’s thanks to Scovillain that this sauce gets its signature mouth-tingling burn.,https://img.pokemondb.net/s.png
Chill Drive,Hold items,Changes Techno Blast to an Ice-type move when held by Genesect.,https://img.pokemondb.net/sprites/items/chill-drive.png
Chipped Pot,Hold items,Evolves Sinistea into Polteageist.,https://img.pokemondb.net/s.png
Choice Band,Hold items,"Raises Attack, but only one move can be used.",https://img.pokemondb.net/sprites/items/choice-band.png
Choice Dumpling,General items,,https://img.pokemondb.net/s.png
Choice Scarf,Hold items,"Raises Speed, but only one move can be used.",https://img.pokemondb.net/sprites/items/choice-scarf.png
Choice Specs,Hold items,"Raises Special Attack, but only one move can be used.",https://img.pokemondb.net/sprites/items/choice-specs.png
Chople Berry,Berries,Weakens a supereffective Fighting-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/chople-berry.png
Chorizo,,"A very salty and spicy ingredient. This type of sausage has particularly robust salty flavor, and the spicier varieties are extra popular.",https://img.pokemondb.net/s.png
Clauncher Claw,General items,"Material obtained after defeating/catching Clauncher, used in TM crafting.",https://img.pokemondb.net/s.png
Claw Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.,https://img.pokemondb.net/sprites/items/claw-fossil.png
Cleanse Tag,Hold items,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.,https://img.pokemondb.net/sprites/items/cleanse-tag.png
Clear Amulet,,"An item to be held by a Pokémon. This clear, sparkling amulet protects the holder from having its stats lowered by moves used against it or by other Pokémon’s Abilities.",https://img.pokemondb.net/s.png
Clever Feather,Medicine,Increases Special Defense EVs by 1.,https://img.pokemondb.net/sprites/items/clever-feather.png
Clever Mochi,Medicine,Increases Special Defense EVs.,https://img.pokemondb.net/s.png
Clover Sweet,Hold items,Evolves Milcery into Clover Flavor Alcremie.,https://img.pokemondb.net/s.png
Coba Berry,Berries,Weakens a supereffective Flying-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/coba-berry.png
Coconut Milk,General items,One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.,https://img.pokemondb.net/s.png
Colbur Berry,Berries,Weakens a supereffective Dark-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/colbur-berry.png
Combee Honey,General items,"Material obtained after defeating/catching Combee, used in TM crafting.",https://img.pokemondb.net/s.png
Comet Shard,General items,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/comet-shard.png
Cornn Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/cornn-berry.png
Courage Candy,Medicine,Increases a Pokémon's Special Defense stat by 1.,https://img.pokemondb.net/sprites/items/courage-candy.png
Courage Candy L,Medicine,Increases a Pokémon's Special Defense stat.,https://img.pokemondb.net/sprites/items/courage-candy-l.png
Courage Candy XL,Medicine,Increases a Pokémon's Special Defense stat.,https://img.pokemondb.net/sprites/items/courage-candy-xl.png
Cover Fossil,General items,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.,https://img.pokemondb.net/sprites/items/cover-fossil.png
Covert Cloak,Hold items,"Conceals the holder, protecting it from the additional effects of moves.",https://img.pokemondb.net/s.png
Crabrawler Shell,General items,"Material obtained after defeating/catching Crabrawler, used in TM crafting.",https://img.pokemondb.net/s.png
Cracked Pot,Hold items,Evolves Sinistea into Polteageist.,https://img.pokemondb.net/s.png
Crafting Kit,General items,,https://img.pokemondb.net/s.png
Cream Cheese,,"A condiment offering very sweet and very tart flavor. It goes well with more ingredients than you’d expect, making it a convenient go-to.",https://img.pokemondb.net/s.png
Croagunk Poison,General items,"Material obtained after defeating/catching Croagunk, used in TM crafting.",https://img.pokemondb.net/s.png
Crunchy Salt,General items,,https://img.pokemondb.net/s.png
Cryogonal Ice,General items,"Material obtained after defeating/catching Cryogonal, used in TM crafting.",https://img.pokemondb.net/s.png
Cubchoo Fur,General items,"Material obtained after defeating/catching Cubchoo, used in TM crafting.",https://img.pokemondb.net/s.png
Cucumber,,A tart and bitter ingredient. Using it together with rich-tasting ingredients in a sandwich will really make the most of a cucumber’s fresh-veggie aroma.,https://img.pokemondb.net/s.png
Cufant Tarnish,General items,"Material obtained after defeating/catching Cufant, used in TM crafting.",https://img.pokemondb.net/s.png
Curry Powder,,"A very spicy condiment. Just watch out—use too much of this potent seasoning, and it’ll cancel out the other flavors.",https://img.pokemondb.net/s.png
Custap Berry,Berries,Holder can move first when HP is low.,https://img.pokemondb.net/sprites/items/custap-berry.png
Cyber Ball,,"A ball themed after hardcore gaming PCs. It may not light up like its inspiration, but it still stands out.",https://img.pokemondb.net/s.png
Cyclizar Scales,General items,"Material obtained after defeating/catching Cyclizar, used in TM crafting.",https://img.pokemondb.net/s.png
Damp Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/damp-mulch.png
Damp Rock,Hold items,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.,https://img.pokemondb.net/sprites/items/damp-rock.png
Dark Gem,Hold items,Increases the power of a Dark-type move only once.,https://img.pokemondb.net/sprites/items/dark-gem.png
Dark Memory,Hold items,Changes Silvally and its move Multi-Attack to Dark type.,https://img.pokemondb.net/sprites/items/dark-memory.png
Dark Tera Shard,,Changes a Pokémon's Tera Type to Dark.,https://img.pokemondb.net/s.png
Darkinium Z,Hold items,"Allows the use of Black Hole Eclipse, the Dark type Z-Move.",https://img.pokemondb.net/sprites/items/darkinium-z.png
Dawn Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/dawn-stone.png
Dazzling Honey,General items,,https://img.pokemondb.net/s.png
Decidium Z,Hold items,"Allows Decidueye to upgrade Spirit Shackle to a Z-Move, Sinister Arrow Raid.",https://img.pokemondb.net/sprites/items/decidium-z.png
Dedenne Fur,General items,"Material obtained after defeating/catching Dedenne, used in TM crafting.",https://img.pokemondb.net/s.png
Deep Sea Scale,Hold items,Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.,https://img.pokemondb.net/sprites/items/deep-sea-scale.png
Deep Sea Tooth,Hold items,Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.,https://img.pokemondb.net/sprites/items/deep-sea-tooth.png
Deerling Hair,General items,"Material obtained after defeating/catching Deerling, used in TM crafting.",https://img.pokemondb.net/s.png
Deino Scales,General items,"Material obtained after defeating/catching Deino, used in TM crafting.",https://img.pokemondb.net/s.png
Delibird Parcel,General items,"Material obtained after defeating/catching Delibird, used in TM crafting.",https://img.pokemondb.net/s.png
Destiny Knot,Hold items,"A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.",https://img.pokemondb.net/sprites/items/destiny-knot.png
Diamond Bottle,,"A diamond-patterned bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with.",https://img.pokemondb.net/s.png
Diamond Pattern Cup,,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around.",https://img.pokemondb.net/s.png
Diamond Tablecloth,,"A tablecloth with a fashionable diamond pattern. It’s great at repelling water and mold, and stains and smudges wipe right off.",https://img.pokemondb.net/s.png
Diancite,Hold items,Enables Diancie to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/diancite.png
Digger Drill,,A single-use drill to bore a hole in the wall for your Secret Base.,https://img.pokemondb.net/s.png
Diglett Dirt,General items,"Material obtained after defeating/catching Diglett, used in TM crafting.",https://img.pokemondb.net/s.png
Dire Hit,Battle items,Raises critical-hit ratio of a Pokémon in battle.,https://img.pokemondb.net/sprites/items/dire-hit.png
Dire Hit 2,Battle items,Raises a Pokémon's critical-hit ratio in battle.,https://img.pokemondb.net/sprites/items/dire-hit-2.png
Dire Hit 3,Battle items,Greatly raises a Pokémon's critical-hit ratio in battle.,https://img.pokemondb.net/sprites/items/dire-hit-3.png
Direshroom,General items,,https://img.pokemondb.net/s.png
Discount Coupon,General items,This special coupon allows you to buy items at a discount when you are shopping at a boutique.,https://img.pokemondb.net/sprites/items/discount-coupon.png
Discovery Slate,,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Discovery Room at Ramanas Park.,https://img.pokemondb.net/s.png
Distortion Slate,,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Distortion Room at Ramanas Park.,https://img.pokemondb.net/s.png
Ditto Goo,General items,"Material obtained after defeating/catching Ditto, used in TM crafting.",https://img.pokemondb.net/s.png
Dive Ball,Pokeballs,Catches Pokémon that live in water with 3.5x the rate of a standard Poké Ball.,https://img.pokemondb.net/sprites/items/dive-ball.png
DNA Splicers,General items,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.,https://img.pokemondb.net/sprites/items/dna-splicers.png
Dome Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.,https://img.pokemondb.net/sprites/items/dome-fossil.png
Dondozo Whisker,General items,"Material obtained after defeating/catching Dondozo, used in TM crafting.",https://img.pokemondb.net/s.png
Doppel Bonnets,General items,,https://img.pokemondb.net/s.png
Douse Drive,Hold items,Changes Techno Blast to a Water-type move when held by Genesect.,https://img.pokemondb.net/sprites/items/douse-drive.png
Draco Plate,Hold items,Increases power of Dragon-type moves. Changes Arceus' type to Dragon.,https://img.pokemondb.net/sprites/items/draco-plate.png
Dragon Fang,Hold items,Increases the power of Dragon-type moves.,https://img.pokemondb.net/sprites/items/dragon-fang.png
Dragon Gem,Hold items,Increases the power of a Dragon-type move only once.,https://img.pokemondb.net/sprites/items/dragon-gem.png
